timestamp_ms,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1659744000000,23313.56,23354.36,23201.27,23264.97,5770.02445,1659747599999,134304887.2352326,215964,2929.50409,68193423.9987961,0
1659747600000,23264.97,23297.0,23187.62,23224.39,3460.10992,1659751199999,80424486.006829,142118,1670.15242,38821700.3531795,0
1659751200000,23223.24,23288.52,23190.93,23266.26,3375.21779,1659754799999,78400165.9607797,133428,1681.53546,39061503.6688696,0
1659754800000,23266.22,23283.72,23152.42,23173.65,3982.38759,1659758399999,92394965.2591274,154479,1896.1247,43993518.272363,0
1659758400000,23173.65,23227.71,23160.27,23208.23,2400.00516,1659761999999,55666971.3452695,115282,1185.93403,27507792.6736068,0
1659762000000,23209.9,23236.93,23141.22,23195.99,3624.09863,1659765599999,84012821.7287005,150064,1774.90591,41148148.2107398,0
1659765600000,23194.7,23211.2,23140.02,23187.74,2823.60726,1659769199999,65449650.6194717,127018,1407.89303,32636177.6762667,0
1659769200000,23187.19,23236.55,23166.29,23205.87,3094.62555,1659772799999,71782843.879504,135538,1558.10755,36143840.6011134,0
1659772800000,23204.77,23258.61,23100.0,23151.86,4579.00249,1659776399999,106175360.6270103,180357,2283.54591,52953584.5198974,0
1659776400000,23153.33,23196.64,23135.9,23170.28,2654.11133,1659779999999,61481971.0074473,129116,1325.31845,30702451.3161255,0
1659780000000,23170.28,23213.0,23167.37,23179.51,2416.90754,1659783599999,56048102.6584577,120096,1203.01479,27898888.827554,0
1659783600000,23179.5,23201.69,23150.95,23157.42,2991.33811,1659787199999,69325386.049621,126800,1442.37961,33429065.7683873,0
1659787200000,23157.42,23204.67,23153.59,23172.47,2602.40182,1659790799999,60318606.9862925,129655,1294.51915,30005903.5640287,0
1659790800000,23172.47,23236.49,23166.01,23188.74,3011.8756,1659794399999,69886035.3716181,132657,1560.05851,36200536.4368147,0
1659794400000,23189.9,23234.58,23172.2,23220.36,2701.20803,1659797999999,62678222.9935109,123375,1391.47492,32289185.2415054,0
1659798000000,23220.36,23232.22,23172.16,23202.21,2590.71218,1659801599999,60113269.8427025,114520,1228.82294,28513911.4644504,0
1659801600000,23201.18,23226.66,23143.04,23156.72,3189.54167,1659805199999,74000621.632268,126250,1562.01132,36243292.1050353,0
1659805200000,23156.72,23256.37,22982.49,23128.83,7525.45014,1659808799999,174079759.0249875,252798,3729.67523,86285044.9266275,0
1659808800000,23130.69,23211.27,23083.69,23181.57,3634.37716,1659812399999,84134779.8611188,140619,1846.76334,42755145.9217737,0
1659812400000,23180.23,23205.0,23145.12,23185.12,2754.5633,1659815999999,63857640.4119417,106720,1382.68972,32056010.9840758,0
1659816000000,23186.32,23200.0,23103.03,23172.41,2760.40553,1659819599999,63899005.9883605,106179,1314.16908,30421881.8681034,0
1659819600000,23174.35,23207.65,23168.0,23178.84,1760.98895,1659823199999,40835151.9707064,76041,956.80385,22188113.0849763,0
1659823200000,23178.84,23220.0,23147.45,23173.63,3054.21303,1659826799999,70775163.5736479,110931,1494.07736,34623935.5475833,0
1659826800000,23173.63,23174.97,22909.52,22954.21,7154.62984,1659830399999,164647786.6719627,210223,3319.49473,76389251.0211597,0
1659830400000,22954.21,23051.92,22844.62,22889.24,5343.43342,1659833999999,122670270.4097763,196050,2628.52436,60357676.6411559,0
1659834000000,22889.25,22938.0,22854.26,22911.34,4117.69791,1659837599999,94304172.4936185,162025,2029.60862,46485063.3311093,0
1659837600000,22910.32,23007.75,22903.6,22996.12,2859.50901,1659841199999,65636301.3065111,134004,1489.82419,34196979.4732899,0
1659841200000,22996.12,23042.31,22968.65,22990.1,3649.50686,1659844799999,83932140.5136445,140171,1792.63372,41228126.7051451,0
1659844800000,22990.1,23025.0,22938.47,22950.57,3507.57328,1659848399999,80626013.6173101,136220,1709.15571,39288364.8265615,0
