timestamp_ms,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1659744000000,1736.81,1749.93,1731.92,1737.85,54450.8248,1659747599999,94823722.533642,86904,28695.9763,49974614.021569,0
1659747600000,1737.85,1744.14,1726.81,1733.45,31329.9391,1659751199999,54388674.836824,51891,16882.0486,29315250.005523,0
1659751200000,1733.45,1741.14,1725.87,1739.79,22552.2562,1659754799999,39073312.826799,41394,10955.0471,18983358.960838,0
1659754800000,1739.79,1742.16,1732.39,1734.47,16279.8585,1659758399999,28274920.095625,26442,7469.9741,12974046.039671,0
1659758400000,1734.47,1737.98,1731.04,1732.5,14176.0236,1659761999999,24580974.425399,25005,7052.2518,12228205.152038,0
1659762000000,1732.5,1736.19,1715.55,1723.45,23614.1005,1659765599999,40715617.691468,37009,11978.2099,20647858.413186,0
1659765600000,1723.46,1725.29,1713.99,1722.81,16763.6209,1659769199999,28831074.627808,23997,9077.4422,15611234.041492,0
1659769200000,1722.82,1725.89,1717.17,1720.73,13402.2732,1659772799999,23080641.606771,20496,7085.874,12203115.568252,0
1659772800000,1720.73,1724.41,1702.62,1708.5,45469.4237,1659776399999,77795904.705027,47248,28397.0546,48557424.052056,0
1659776400000,1708.49,1715.57,1706.56,1712.18,13768.0939,1659779999999,23562114.562147,22837,6720.4522,11502343.81863,0
1659780000000,1712.17,1722.73,1712.0,1716.7,13052.5182,1659783599999,22415172.308685,22641,6967.5791,11965428.976726,0
1659783600000,1716.7,1722.27,1711.9,1712.11,21331.354,1659787199999,36658006.242057,24423,11144.1841,19152295.80593,0
1659787200000,1712.1,1717.41,1708.54,1711.66,15071.592,1659790799999,25817041.791683,22918,8453.8133,14480657.15771,0
1659790800000,1711.67,1720.97,1709.55,1710.62,20763.2951,1659794399999,35605441.517228,25421,11349.0457,19466222.2657,0
1659794400000,1710.62,1718.16,1706.6,1716.19,21387.7048,1659797999999,36633790.358424,23278,11634.8329,19928922.430882,0
1659798000000,1716.19,1718.12,1710.0,1715.53,17195.6729,1659801599999,29479908.577144,21668,8704.3934,14922841.676647,0
1659801600000,1715.53,1720.92,1705.12,1706.76,24340.0303,1659805199999,41722514.064211,24906,11309.2072,19389015.97657,0
1659805200000,1706.76,1718.23,1685.26,1707.75,45613.1788,1659808799999,77674402.562669,59383,22798.8853,38827250.636809,0
1659808800000,1707.76,1716.81,1701.1,1714.34,25213.847,1659812399999,43127522.036204,27461,13833.3881,23662499.927205,0
1659812400000,1714.34,1718.27,1708.23,1714.73,9714.302,1659815999999,16649144.357675,18886,5391.6653,9241164.093809,0
1659816000000,1714.73,1717.36,1707.19,1715.39,8858.0228,1659819599999,15159377.044652,18787,4474.229,7657577.083986,0
1659819600000,1715.39,1719.63,1714.45,1717.31,6117.8339,1659823199999,10503279.69231,14559,3051.0909,5237886.62743,0
1659823200000,1717.31,1724.27,1711.0,1713.48,11306.7284,1659826799999,19396974.475089,21448,5364.5783,9204804.632693,0
1659826800000,1713.48,1713.85,1687.29,1690.6,31542.1498,1659830399999,53510348.047668,43871,14452.625,24508294.252831,0
1659830400000,1690.6,1698.49,1670.01,1672.5,35356.7202,1659833999999,59579617.240524,51542,16634.3099,28047388.402064,0
1659834000000,1672.49,1679.17,1668.0,1677.0,30224.1306,1659837599999,50579240.924589,42607,16430.6959,27498255.367194,0
1659837600000,1677.01,1687.69,1673.94,1685.98,19085.6083,1659841199999,32049353.82477,30272,11338.5799,19034839.820456,0
1659841200000,1685.98,1688.94,1678.31,1684.07,16517.2555,1659844799999,27815496.850755,30023,7669.3549,12914461.25176,0
1659844800000,1684.07,1689.35,1672.71,1675.0,24317.0017,1659848399999,40895731.626163,32954,11372.0416,19134144.14292,0
1659848400000,1675.0,1685.86,1674.53,1681.39,9904.7628,1659851999999,16650155.966502,20491,5265.3592,8851011.928361,0
1659852000000,1681.39,1685.39,1679.93,1683.56,10717.7683,1659855599999,18033534.677365,18597,6217.4226,10461386.685973,0
1659855600000,1683.55,1688.75,1682.76,1686.24,8769.7623,1659859199999,14786711.219846,20077,4752.2422,8012937.653002,0
1659859200000,1686.23,1686.57,1676.99,1679.36,11449.1395,1659862799999,19247178.967524,22357,5312.0974,8930062.916524,0
1659862800000,1679.35,1689.99,1673.02,1684.43,17906.0801,1659866399999,30102516.231631,25363,10652.0765,17912842.963959,0
1659866400000,1684.43,1686.39,1680.62,1685.19,7334.2534,1659869999999,12350136.614876,17216,3586.2804,6038990.981483,0
1659870000000,1685.18,1694.13,1681.37,1692.6,13587.382,1659873599999,22933076.659818,27595,6877.7157,11608726.118224,0
1659873600000,1692.59,1710.94,1691.16,1707.91,35948.1987,1659877199999,61141532.96188,61394,18978.1214,32287727.079277,0
1659877200000,1707.91,1715.18,1703.73,1707.56,18391.2179,1659880799999,31440649.357082,28892,9002.1046,15391354.481816,0
1659880800000,1707.56,1710.91,1693.97,1705.02,19212.9378,1659884399999,32720083.439299,31233,9563.267,16283928.384618,0
1659884400000,1705.01,1705.99,1696.53,1698.89,13555.9241,1659887999999,23051362.194489,21359,6768.4545,11507876.232424,0
1659888000000,1698.89,1709.3,1695.18,1706.47,16470.9242,1659891599999,28084283.957588,24897,9670.3296,16491358.4324,0
1659891600000,1706.48,1717.0,1705.87,1711.86,20836.6266,1659895199999,35659472.872701,32337,10933.3024,18710712.593,0
1659895200000,1711.87,1714.84,1704.02,1707.89,11496.5567,1659898799999,19654308.477275,21757,5038.3785,8613785.445296,0
1659898800000,1707.88,1711.0,1705.21,1708.45,20667.1072,1659902399999,35322084.43573,18346,10446.9975,17855412.792014,0
1659902400000,1708.44,1724.63,1707.89,1722.04,21788.8524,1659905999999,37391596.080754,28029,12565.9333,21563009.808834,0
1659906000000,1722.03,1729.79,1712.54,1717.42,16259.3551,1659909599999,27985060.186327,26162,8368.0561,14408933.728983,0
1659909600000,1717.42,1720.24,1702.48,1704.71,16326.7216,1659913199999,27928757.890707,26018,7560.5083,12931974.936937,0
1659913200000,1704.7,1705.43,1690.0,1700.19,23780.477,1659916799999,40348208.723892,32973,11216.5122,19027909.389063,0
1659916800000,1700.2,1720.0,1695.0,1707.51,23139.6071,1659920399999,39532545.61593,34621,12518.8434,21389385.328546,0
1659920400000,1707.51,1708.44,1693.87,1701.34,16820.3278,1659923999999,28612794.175508,23777,7737.862,13161794.252965,0
1659924000000,1701.34,1717.01,1700.0,1715.15,24003.7737,1659927599999,41080270.627933,29965,11190.7431,19141380.962063,0
1659927600000,1715.16,1717.44,1708.79,1709.77,12040.1195,1659931199999,20619464.889503,19037,5692.5404,9748304.333442,0
1659931200000,1709.76,1713.99,1708.3,1712.31,10638.3701,1659934799999,18201106.476816,15911,5710.8477,9770413.804509,0
1659934800000,1712.3,1726.73,1712.3,1723.97,24691.7737,1659938399999,42499189.873963,30902,12197.3188,20991334.75592,0
1659938400000,1723.96,1740.0,1723.96,1733.69,43622.656,1659941999999,75535597.172197,51787,23299.8309,40345569.143132,0
1659942000000,1733.69,1738.65,1729.07,1732.79,23790.1924,1659945599999,41252142.868029,30848,11197.2124,19416262.990041,0
1659945600000,1732.78,1776.69,1728.28,1773.28,69197.1073,1659949199999,121394214.80965,84996,41722.9259,73189445.2968,0
1659949200000,1773.29,1778.72,1766.71,1768.74,35659.3237,1659952799999,63241364.214107,49294,17540.0232,31107870.983163,0
1659952800000,1768.74,1776.01,1764.51,1772.84,31409.4782,1659956399999,55643064.417414,40494,14441.6601,25576203.971981,0
